hostname_length,path_length,double_slash_in_path,has_ip,subdomain_cnt,suspicious_tokens,has_at,hyphen_count,digit_count,entropy,domain_age_days,ssl_days_left,has_login_form,num_inputs,num_iframes,num_scripts,meta_refresh,suspicious_js,ext_favicon,label_encoded
22,20,0,0,1,0,0,0,0,4.117075599518185,-1,-999,0,0,0,0,0,0,0,1
20,18,1,0,1,1,0,0,0,4.072424141197959,-1,-999,0,0,0,0,0,0,0,1
23,39,1,0,1,0,0,0,0,4.1032836026510955,-1,-999,0,0,0,0,0,0,0,1
29,54,0,0,0,1,0,0,17,4.626435635782208,-1,-999,0,0,0,0,0,0,0,1
18,27,0,0,0,0,0,0,0,3.991883297865824,-1,-999,1,37,1,50,0,0,0,1
20,53,0,0,1,2,0,0,0,4.351118683353012,-1,-999,0,0,1,36,0,0,0,1
11,8,0,0,0,0,0,0,1,4.056020968057882,-1,-999,0,0,0,0,0,0,0,1
29,152,0,0,0,2,0,0,68,4.973415084256752,-1,-999,0,0,0,0,0,0,0,1
19,67,0,0,0,1,0,0,19,4.840744800188217,-1,-999,0,0,0,0,0,0,0,1
24,1,0,0,0,0,0,1,0,4.1136085007312415,-1,-999,0,0,0,0,0,0,0,1
9,72,0,0,0,1,0,0,12,4.783562713495002,-1,-999,0,0,0,0,0,0,0,1
29,50,0,0,1,1,0,1,0,4.156338848372066,-1,-999,0,0,0,0,0,0,0,1
30,1,0,0,0,0,0,0,0,3.9579393553211153,-1,-999,0,0,0,0,0,0,0,1
21,25,0,0,0,0,0,0,0,4.275208785512426,-1,-999,0,0,0,0,0,0,0,1
26,39,0,0,0,1,0,0,0,4.322208856447071,-1,-999,0,0,0,0,0,0,0,1
32,25,0,0,0,0,0,0,0,4.396822516654254,-1,-999,0,0,0,0,0,0,0,1
14,26,0,0,0,0,0,0,0,3.8131320126996733,-1,-999,0,0,0,0,0,0,0,1
29,16,0,0,1,0,0,1,0,3.974008227548451,-1,-999,0,0,0,0,0,0,0,1
115,34,0,0,8,2,0,2,53,4.857016981115052,-1,-999,0,0,0,0,0,0,0,1
15,51,0,0,0,0,0,0,19,4.665737148384382,-1,-999,0,0,0,0,0,0,0,1
15,5,0,0,1,0,0,1,0,3.912113890972229,-1,-999,0,0,0,25,0,0,0,1
150,34,0,0,11,1,0,0,56,4.960463347078983,-1,-999,0,0,0,0,0,0,0,1
15,70,0,0,0,0,0,0,0,4.321003436533808,-1,-999,0,0,0,0,0,0,0,1
11,17,1,0,0,0,0,0,0,3.9188679318992445,-1,-999,0,0,0,0,0,0,0,1
21,11,0,0,0,0,0,0,0,3.9578525390977015,-1,-999,0,0,0,0,0,0,0,1
6,7,0,0,0,0,0,0,0,3.846439344671016,-1,-999,0,0,0,0,0,0,0,1
25,15,0,0,0,0,0,0,0,4.219928086715924,-1,-999,0,0,0,0,0,0,0,1
19,92,0,0,0,0,0,0,5,4.5031498277578015,-1,-999,0,0,0,0,0,0,0,1
18,31,0,0,0,1,0,0,0,4.219964690100799,-1,-999,0,0,0,0,0,0,0,1
23,22,0,0,2,0,0,0,88,4.716158323703605,-1,-999,0,0,0,0,0,0,0,1
26,8,0,0,0,0,0,0,0,4.113172736114331,-1,-999,0,0,0,3,0,0,0,1
69,55,0,0,10,2,0,0,32,4.821555564928863,-1,-999,0,0,0,0,0,0,0,1
19,27,0,0,1,0,0,0,0,4.050677945325821,-1,-999,1,6,0,58,0,0,0,1
17,20,0,0,0,0,0,0,0,4.01001258430054,-1,-999,0,0,0,0,0,0,0,1
20,27,0,0,1,0,0,0,1,4.264082067644619,-1,-999,0,0,0,0,0,0,0,1
10,42,0,0,0,0,0,0,0,3.8966341014453163,-1,-999,0,0,0,0,0,0,0,1
20,18,0,0,1,1,0,1,2,4.252421151644845,-1,-999,0,0,0,0,0,0,0,1
29,51,0,0,0,1,0,0,0,4.571861100429053,-1,-999,0,0,0,0,0,0,0,1
10,11,0,0,0,0,0,0,0,3.5836169753972325,-1,-999,0,6,0,36,0,0,0,1
17,18,0,0,1,0,0,0,2,4.266502839084849,-1,-999,0,0,0,0,0,0,0,1
14,49,0,0,0,0,0,1,0,4.289140160509613,-1,-999,0,2,0,23,0,0,0,1
29,201,0,0,0,1,0,0,39,5.666809720467077,-1,-999,0,0,0,0,0,0,0,1
110,219,0,0,7,2,0,1,136,4.917083721402441,-1,-999,0,0,0,0,0,0,0,1
110,219,0,0,7,2,0,1,134,4.912260278970937,-1,-999,0,0,0,0,0,0,0,1
110,215,0,0,7,2,0,1,134,4.891929147201251,-1,-999,0,0,0,0,0,0,0,1
21,34,0,0,1,0,0,0,3,4.214704835677773,-1,-999,0,0,0,0,0,0,0,1
21,13,0,0,1,0,0,0,14,4.192321821427417,-1,-999,0,0,0,0,0,0,0,1
17,19,0,0,0,1,0,0,0,4.0765182426716855,-1,-999,0,0,0,0,0,0,0,1
18,32,0,0,0,0,0,0,2,4.281949172166355,-1,-999,0,0,0,0,0,0,0,1
22,119,0,0,0,5,0,0,0,4.608451685393752,-1,-999,0,0,2,12,0,0,1,1
12,43,0,0,0,0,0,0,0,4.381986376452013,-1,-999,0,10,0,43,0,0,1,1
11,18,0,0,0,0,0,0,0,4.1734165853054455,-1,-999,0,0,0,0,0,0,0,1
23,27,0,0,0,0,0,0,4,4.332437603018594,-1,-999,0,0,0,0,0,0,0,1
11,8,0,0,0,0,0,0,2,4.103909910282364,-1,-999,0,0,0,0,0,0,0,1
15,29,0,0,0,0,0,1,0,4.079123754399312,-1,-999,0,0,0,0,0,0,0,1
